Wavelength Signal SignalFiltered 
494.6 9741.4 138.2
495.2 9737.8 140.9
495.7 9728.4 143.1
496.3 9708.6 143.4
496.9 9698.0 146.3
497.5 9690.9 146.2
498.0 9674.0 147.0
498.6 9661.1 148.5
499.2 9634.6 149.6
499.8 9605.0 150.5
500.4 9577.3 149.9
500.9 9553.4 149.5
501.5 9535.8 152.1
502.1 9512.4 151.5
502.7 9484.9 151.5
503.2 9460.7 153.2
503.8 9431.9 153.1
504.4 9409.7 153.1
505.0 9396.7 155.0
505.5 9388.6 155.5
506.1 9375.8 156.5
506.7 9376.3 156.7
507.3 9373.2 156.8
507.8 9379.1 158.5
508.4 9394.5 159.4
509.0 9418.5 159.0
509.6 9454.7 158.9
510.2 9475.0 158.0
510.7 9499.4 159.6
511.3 9529.2 158.3
511.9 9571.9 157.5
512.5 9612.2 158.4
513.0 9648.9 157.4
513.6 9692.2 157.9
514.2 9742.0 159.4
514.8 9787.3 160.5
515.3 9836.0 161.7
515.9 9909.7 161.1
516.5 9980.1 163.0
517.1 10041.7 164.5
517.6 10109.0 166.0
518.2 10166.8 166.9
518.8 10216.9 167.7
519.4 10260.5 169.5
519.9 10305.9 171.6
520.5 10364.9 172.8
521.1 10394.2 175.4
521.7 10429.3 176.7
522.3 10455.4 178.4
522.8 10471.5 182.0
523.4 10489.0 187.0
524.0 10512.9 190.2
524.6 10534.7 192.0
525.1 10550.6 196.2
525.7 10565.4 202.8
526.3 10585.7 211.5
526.9 10609.6 221.4
527.4 10630.2 233.1
528.0 10655.5 247.2
528.6 10700.9 264.2
529.2 10733.4 285.8
529.7 10770.9 314.4
530.3 10815.9 347.6
530.9 10847.0 385.1
531.5 10867.1 428.0
532.0 10889.6 479.0
532.6 10918.6 539.4
533.2 10945.5 608.2
533.8 10967.2 684.8
534.3 11003.4 773.5
534.9 11039.9 872.5
535.5 11062.8 982.5
536.1 11110.5 1107.1
536.6 11175.8 1239.0
537.2 11227.1 1388.4
537.8 11282.3 1548.1
538.4 11353.7 1719.9
538.9 11426.0 1910.5
539.5 11488.2 2114.6
540.1 11558.9 2327.9
540.7 11640.1 2550.9
541.2 11698.4 2787.5
541.8 11766.0 3040.9
542.4 11838.6 3297.2
542.9 11919.5 3563.5
543.5 11986.7 3836.9
544.1 12046.0 4117.0
544.7 12115.6 4399.5
545.2 12172.9 4693.5
545.8 12218.2 4987.2
546.4 12280.3 5281.7
547.0 12341.8 5573.2
547.5 12412.0 5873.4
548.1 12469.7 6179.8
548.7 12520.0 6482.6
549.3 12570.8 6779.3
549.8 12611.9 7067.2
550.4 12644.9 7349.0
551.0 12702.8 7632.6
551.6 12745.4 7918.8
552.1 12774.5 8194.9
552.7 12789.0 8452.6
553.3 12816.9 8691.6
553.9 12836.5 8922.0
554.4 12861.2 9151.7
555.0 12881.1 9374.0
555.6 12906.3 9579.3
556.1 12923.4 9767.5
556.7 12942.1 9937.1
557.3 12943.1 10105.0
557.9 12952.6 10266.6
558.4 12954.2 10401.8
559.0 12973.9 10528.6
559.6 12989.7 10645.2
560.2 13012.2 10751.9
560.7 13024.3 10852.1
561.3 13034.8 10950.4
561.9 13051.4 11031.6
562.4 13080.6 11095.3
563.0 13110.6 11146.7
563.6 13140.5 11211.6
564.2 13160.9 11269.4
564.7 13184.3 11304.4
565.3 13213.0 11336.5
565.9 13262.2 11350.3
566.5 13290.1 11343.1
567.0 13321.0 11341.8
567.6 13354.5 11336.7
568.2 13395.4 11330.6
568.7 13437.4 11321.7
569.3 13474.7 11291.4
569.9 13515.9 11262.2
570.5 13551.0 11218.3
571.0 13575.9 11193.5
571.6 13625.4 11187.8
572.2 13664.9 11170.1
572.8 13699.6 11151.0
573.3 13726.8 11131.7
573.9 13751.7 11104.1
574.5 13784.6 11096.1
575.0 13813.4 11092.7
575.6 13832.8 11099.3
576.2 13852.3 11105.9
576.8 13857.3 11097.6
577.3 13864.6 11101.1
577.9 13877.4 11108.2
578.5 13887.7 11120.8
