Wavelength Signal SignalFiltered 
932.0 881.4 637.9
932.6 877.4 634.0
933.1 874.0 629.0
933.6 868.1 624.7
934.2 863.4 621.7
934.7 860.1 618.3
935.3 855.9 616.6
935.8 853.3 611.7
936.4 848.0 608.3
936.9 846.7 602.3
937.4 843.5 598.5
938.0 840.2 595.4
938.5 837.9 591.5
939.1 834.6 586.9
939.6 831.8 583.0
940.2 828.6 580.2
940.7 826.0 578.4
941.3 825.3 574.3
941.8 821.2 571.2
942.3 816.7 567.1
942.9 815.8 564.5
943.4 813.3 562.6
944.0 813.4 559.8
944.5 810.9 555.8
945.1 808.2 550.1
945.6 804.8 547.6
946.1 802.5 544.4
946.7 798.5 540.5
947.2 796.4 540.3
947.8 789.9 535.9
948.3 787.4 530.8
948.9 782.6 528.6
949.4 779.3 526.5
949.9 775.6 524.7
950.5 772.5 519.5
951.0 767.6 517.8
951.6 766.7 515.5
952.1 763.1 510.4
952.7 761.6 507.7
953.2 757.4 503.2
953.7 751.6 497.5
954.3 748.0 493.2
954.8 744.3 488.3
955.4 737.9 485.5
955.9 734.7 480.7
956.5 728.3 476.1
957.0 726.1 473.0
957.5 723.6 469.5
958.1 721.3 466.4
958.6 719.5 463.3
959.2 718.1 460.0
959.7 714.4 455.1
960.3 711.4 450.1
960.8 706.7 446.9
961.3 704.1 443.1
961.9 700.4 437.8
962.4 694.5 433.9
963.0 689.8 431.8
963.5 685.4 427.9
964.0 679.9 424.0
964.6 674.5 421.8
965.1 671.4 419.4
965.7 669.5 416.1
966.2 667.1 413.1
966.8 662.0 410.1
967.3 657.5 406.3
967.8 654.5 403.2
968.4 649.8 399.5
968.9 644.0 396.6
969.5 643.3 394.0
970.0 639.1 391.7
